,Open Bid_x,Open Bid_y,weekday_y,Long Swap USDPLN,Short Swap USDPLN
2005-11-13,3.98,4.45,6,-3.45827755466309e-06,2.023184601924762e-06
2005-11-14,3.96,4.42,0,-3.6962365591397846e-06,1.9762845849802382e-06
2005-11-15,3.97,4.41,1,-3.6329085624860236e-06,1.8628095551172446e-06
2005-11-16,3.96,4.5,2,-1.1592741935483875e-05,7.246376811594217e-06
2005-11-17,3.94,4.41,3,-3.823661718398565e-06,2.039241622574955e-06
2005-11-18,4.01,4.41,4,-3.3821246396096726e-06,1.9213877909530094e-06
2005-11-19,3.99,4.35,5,-4.175016700066802e-06,1.5340784571553759e-06
2005-11-20,3.98,4.35,6,-4.239178937974116e-06,1.4763779527559028e-06
2005-11-21,3.99,4.4,0,-3.4513471387218914e-06,1.7497812773403356e-06
2005-11-22,4.0,4.43,1,-3.4999999999999966e-06,2.090209020902092e-06
2005-11-23,4.0,4.41,2,-1.0166666666666675e-05,6.117724867724864e-06
2005-11-24,3.98,4.4,3,-3.5140562248995994e-06,1.925192519251927e-06
2005-11-25,3.97,4.42,4,-3.577017661524703e-06,1.9175980714442226e-06
2005-11-26,4.0,4.34,5,-3.999999999999997e-06,1.6534391534391537e-06
2005-11-27,4.0,4.34,6,-3.999999999999997e-06,1.6534391534391537e-06
2005-11-28,4.0,4.4,0,-3.388888888888892e-06,1.984126984126983e-06
2005-11-29,4.0,4.4,1,-3.388888888888892e-06,1.984126984126983e-06
2005-11-30,3.98,4.4,2,-1.0542168674698798e-05,5.599472990777343e-06
2005-12-01,3.98,4.4,3,-3.5140562248995994e-06,1.8664909969257812e-06
2005-12-02,4.06,4.44,4,-3.0742204655248137e-06,1.564185544768072e-06
2005-12-03,4.08,4.45,5,-2.843394575678035e-06,1.56115417743325e-06
