,Open Bid_x,Open Bid_y,weekday_y,Short Swap USDDKK,Long Swap USDDKK
2005-10-19,3.73,2.02,2,-3.0683403068340305e-05,2.6603241719520792e-05
2005-10-20,3.75,2.08,3,-9.953703703703703e-06,8.888888888888887e-06
2005-10-21,3.83,2.08,4,-1.0423709713770564e-05,9.201748332183115e-06
2005-10-22,3.87,2.08,5,-1.0353021045485405e-05,9.354323522701346e-06
2005-10-23,3.87,2.08,6,-1.0353021045485405e-05,9.354323522701346e-06
2005-10-24,3.85,2.08,0,-1.0493827160493827e-05,9.278350515463915e-06
2005-10-25,3.89,2.08,1,-1.0423709713770564e-05,9.429675073846857e-06
2005-10-26,3.93,2.08,2,-3.1690140845070426e-05,2.873563218390804e-05
2005-10-27,3.96,2.08,3,-1.0869565217391302e-05,9.688620071684587e-06
2005-10-28,4.0,2.08,4,-1.0836083608360836e-05,9.833333333333333e-06
2005-10-29,4.0,2.08,5,-1.0936132983377075e-05,9.833333333333333e-06
2005-10-30,3.96,2.08,6,-1.0869565217391302e-05,9.688620071684587e-06
2005-10-31,4.02,2.08,0,-1.0936132983377075e-05,9.904825143868965e-06
2005-11-01,4.03,2.04,1,-1.1089152393500219e-05,9.885133642588911e-06
2005-11-02,3.96,2.09,2,-3.244400527009223e-05,2.8897849462365586e-05
2005-11-03,3.97,2.09,3,-1.084812623274162e-05,9.669125866308966e-06
2005-11-04,4.01,2.09,4,-1.0947712418300651e-05,9.81370592149035e-06
2005-11-05,4.0,2.09,5,-1.0881452318460193e-05,9.777777777777777e-06
2005-11-06,4.0,2.09,6,-1.0881452318460193e-05,9.777777777777777e-06
2005-11-07,3.97,2.09,0,-1.084812623274162e-05,9.669125866308966e-06
2005-11-08,3.97,2.09,1,-1.084812623274162e-05,9.669125866308966e-06
2005-11-09,3.97,2.09,2,-3.254437869822486e-05,2.90073775989269e-05
2005-11-10,3.97,2.08,3,-1.0902914749068595e-05,9.72501676727029e-06
2005-11-11,3.97,2.08,4,-1.0902914749068595e-05,9.72501676727029e-06
2005-11-12,4.0,2.08,5,-1.0936132983377075e-05,9.833333333333333e-06
2005-11-13,3.98,2.1,6,-1.0826771653543307e-05,9.649709950914774e-06
2005-11-14,3.96,2.08,0,-1.0869565217391302e-05,9.688620071684587e-06
2005-11-15,3.97,2.08,1,-1.0902914749068595e-05,9.72501676727029e-06
2005-11-16,3.96,2.05,2,-3.310276679841897e-05,2.872983870967742e-05
2005-11-17,3.94,2.08,3,-1.0802469135802469e-05,9.615384615384614e-06
2005-11-18,4.01,2.06,4,-1.0979358805445761e-05,9.702816589044135e-06
2005-11-19,3.99,2.08,5,-1.0902914749068595e-05,9.797372522823425e-06
2005-11-20,3.98,2.08,6,-1.0936132983377075e-05,9.761267291387774e-06
2005-11-21,3.99,2.08,0,-1.0936132983377075e-05,9.797372522823425e-06
2005-11-22,4.0,2.08,1,-1.0836083608360836e-05,9.833333333333333e-06
2005-11-23,4.0,2.08,2,-3.240740740740741e-05,2.95e-05
2005-11-24,3.98,2.08,3,-1.0836083608360836e-05,9.761267291387774e-06
2005-11-25,3.97,2.08,4,-1.0902914749068595e-05,9.72501676727029e-06
2005-11-26,4.0,2.08,5,-1.0802469135802469e-05,9.833333333333333e-06
2005-11-27,4.0,2.08,6,-1.0802469135802469e-05,9.833333333333333e-06
2005-11-28,4.0,2.08,0,-1.0802469135802469e-05,9.833333333333333e-06
2005-11-29,4.0,2.2,1,-1.0141093474426806e-05,9.166666666666665e-06
2005-11-30,3.98,2.0,2,-3.39262187088274e-05,2.894912985274432e-05
2005-12-01,3.98,2.3,3,-9.66183574879227e-06,8.53413654618474e-06
2005-12-02,4.06,2.3,4,-9.978425026968719e-06,8.838383838383836e-06
